date,description,debit,credit
2024-06-11,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-BPE,,10500.0
2024-07-11,EMI ********* CHQ S************* *************,10482.0,
2024-09-11,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB0MERCHA-************-UPI,1519.0,
2024-10-11,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB0MERCHA-************-RRR**********NJ0XJ,,2079.0
2024-10-11,UPI-ICICI LOMBARD-ICICILOMBARD.RZP@AXISBANK-UTIB*******-************-TRANSACTIONIDTXN4M,2596.0,
2024-11-11,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB0MERCHA-************-RRR*********O0V19G,,1499.0
2024-11-11,UPI-RAGAVS DIAGNOSTIC-PAYTM-********@PTYS-YESB0PTMUPI-************-BLOOD TEST,620.0,
2024-11-14,UPI-SREENI VASULU J-SREENIVASJAKKA-1@OKHDFCBANK-KVBL*******-************-BIKE INSURANCE,5850.0,
2024-11-15,UPI-BISWAJIT  BERA-BBERA7359@AXL-SBIN*******-************-RAPIDO,87.0,
2024-11-15,UPI-SHAKTI GHOSH-**********@YBL-KARB*******-************-PAYMENT FROM PHONE,87.0,
2024-11-15,UPI-ACT  BROADBAND-PAYTM-ACTBAN4@PTYBL-YESB0PTMUPI-************-UPI,1709.82,
2024-11-15,UPI-SWIGGY LIMITED-SWIGGYDINEOUT1ONLINE.GPAY@OKPAYAXIS-UTIB*******-************-UPI,3709.0,
2024-11-16,UPI-MANU  KUMAR-MANUKUMAR******@OKHDFCBANK-FINO*******-************-AUTO,460.0,
2024-11-16,IMPS-************-POLA SAI SATHVIK-HDFC-XXXXXXXXXX2694-NA,,50000.0
2024-11-17,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,1500.0,
2024-11-17,UPI-P MADHAVI-**********@AXL-UBIN*******-************-PAYMENT FROM PHONE,5000.0,
2024-11-20,UPI-T L MAHESH-TLMAHESH@AXL-KVBL*******-************-PAYMENT FROM PHONE,25000.0,
2024-11-20,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN***********,,1681.0
2024-11-21,UPI-POLA SAI SATHVIK-POLASATVIK-4@OKHDFCBANK-HDFC*******-************-UPI,50000.0,
2024-11-21,UPI-SWIGGY LIMITED-SWIGGYINSTAMART1ONLINE.GPAY@OKPAYAXIS-UTIB*******-************-SWIGGY,1306.0,
2024-11-22,UPI-SAHIL  KUMAR-SAHILJYANI87-1@OKICICI-YESB*******-************-HOTEL,13880.0,
2024-11-24,UPI-SAHIL  KUMAR-SAHILJYANI87-1@OKICICI-YESB*******-************-FOOD ASIAN HOTEL,1496.0,
2024-11-27,UPI-CHALO KASOL HUT-AQM42ATCF1ZX@MAHB-MAHB*******-************-LUNCH SISSU,1615.0,
2024-11-28,UPI-ISHA DO LOT RAM-ISHA97034@OKAXIS-PUNB*******-************-GIFTS,480.0,
2024-11-29,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN*********** GTS SALARY PAY NOV2024,,147368.0
2024-11-29,UPI-SUNITA W O SUNIL KUM-**********@AXL-BARB0MANALI-************-DAD JACKET,1100.0,
2024-11-29,UPI-OM GIFT CORNER-**************@UCOBANK-UCBA*******-************-E,600.0,
2024-11-30,UPI-SAPTAGIRI RESTAURANT-PAYTM.D***********@PTY-YESB0MCHUPI-************-AIRPORT SNACKS,840.0,
2024-01-12,UPI-SWIGGY LIMITED-SWIGGY1ONLINE.GPAY@OKPAYAXIS-UTIB*******-************-SWIGGY,214.0,
2024-03-12,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,3000.0,
2024-03-12,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,6000.0,
2024-03-12,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,5000.0,
2024-03-12,ACH D- IDFC FIRST BANK-**********,13542.0,
2024-03-12,ATW-******XXXXXX8525-P1ENBG20-BANGALORE-URB,20000.0,
2024-03-12,ATW-******XXXXXX8525-P1ENBG20-BANGALORE-URB,10000.0,
2024-03-12,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-MONTHLY EXPENSES,5000.0,
2024-04-12,UPI-CRED-CRED.CLUB@AXISB-UTIB*******-************-PAYMENT ON CRED,93989.0,
2024-07-12,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-BPE,,10500.0
2024-07-12,EMI ********* CHQ S************* *************,10482.0,
2024-10-12,SBY********_DAP,20.0,
2024-11-12,UPI-S S MEDICALS-PAYTMQR5YV5EJ@PTYS-YESB0PTMUPI-************-MEDICINE,3.0,
2024-12-13,UPI-PRIYANSHU KHULLAR-PRIYANSHUKHULLAR@FIFEDERAL-FDRL*******-************-TRIPLE IT,5000.0,
2024-12-15,UPI-AMBICA MEDICAL-PAYTM.S10WFWW@PTY-YESB0MCHUPI-************-MEDICINE,871.0,
2024-12-16,UPI-ACT  BROADBAND-PAYTM-ACTBAN4@PTYBL-YESB0PTMUPI-************-UPI,1709.82,
2024-12-17,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,1500.0,
2024-12-17,UPI-P MADHAVI-**********@YBL-UBIN*******-************-PAYMENT FROM PHONE,5000.0,
2024-12-17,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-PRIYANSHU PAID BAC,,5000.0
2024-12-17,UPI-T L MAHESH-TLMAHESH@AXL-KVBL*******-************-PAYMENT FROM PHONE,25000.0,
2024-12-18,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-MONTHLY EXPENSES,5000.0,
2024-12-20,SEPSEP24 INSTAALERTCHG 3 SMS ******-MIR*************,0.7,
2024-12-23,UPI-SAGAR HOSPITALS-SAGARHOSPITALS.********@HDFCBANK-HDFC*******-************-GENERATING DYNAMIC,800.0,
2024-12-23,UPI-ANKIT SHARMA-**********@AXL-HDFC*******-************-SARJAPURA SOCIAL,2230.0,
2024-12-24,UPI-PRABHA EYE CLINIC AN-PRABHAEYECLINICANDRE.********@HDFCBANK-HDFC*******-************-DOCTOR CONSULTATIO,500.0,
2024-12-24,UPI-AMAZON INDIA-AMAZON@RAPL-RATN000RAPL-************-YOU ARE PAYING FOR,2244.0,
2024-12-24,UPI-SWIGGY LIMITED-SWIGGY1ONLINE.GPAY@OKPAYAXIS-UTIB*******-************-UPI,385.0,
2024-12-25,UPI-AMAZON INDIA-AMAZON.REFUNDS@RAPL-RATN000RAPL-************-REFUND FOR YOUR AM,,2244.0
2024-12-28,UPI-PRITHAM GOPAL-PRITHAMGOPAL1-1@OKAXIS-UTIB*******-************-DRINKS,12000.0,
2024-12-28,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-IRON HILL,,12000.0
2024-12-30,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN*********** GTS SALARY PAY DEC2024,,147349.0
2024-12-31,ATW-******XXXXXX8525-S1AWKX46-BANGALORE,20000.0,
2024-12-31,ATW-******XXXXXX8525-S1AWKX46-BANGALORE,10000.0,
2025-01-01,INTEREST PAID TILL 31-DEC-2024,,798.0
2025-01-01,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-AKSHATH PAID BACK,,10723.77
2025-03-01,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,4000.0,
2025-03-01,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,7000.0,
2025-03-01,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,5000.0,
2025-03-01,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,3000.0,
2025-03-01,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,6000.0,
2025-03-01,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,5000.0,
2025-03-01,ACH D- IDFC FIRST BANK-**********,13542.0,
2025-04-01,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-EXPENSES,5000.0,
2025-04-01,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB0MERCHA-************-UPI,2216.0,
2025-04-01,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-BPEMI,,11500.0
2025-06-01,CHQ PAID-TRANSFER IN-SBI LIFE INSURANCE,50000.0,
2025-06-01,UPI-TEJAS M A-**********@IBL-CNRB*******-************-GYM FEE,500.0,
2025-07-01,EMI ********* CHQ S************* *************,10482.0,
2025-08-01,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-UPI,,2750.0
2025-09-01,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN***********,,5706.0
2025-09-01,UPI-CREDCLUB-CREDCLUB@ICICI-ICIC0DC0099-************-PAYMENT ON CRED,52116.0,
2025-01-15,UPI-ACT  BROADBAND-PAYTM-ACTBAN4@PTYBL-YESB0PTMUPI-************-UPI,1809.83,
2025-01-17,UPI-AISHWARYA K-**********@PTAXIS-CNRB*******-************-SENT USING PAYTM U,,500.0
2025-01-17,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-UPI,,4000.0
2025-01-17,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,1500.0,
2025-01-18,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,1500.0,
2025-01-18,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-MAYUR PAID PARTIAL,,3181.0
2025-01-19,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB0MERCHA-************-UPI,2094.0,
2025-01-20,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB0MERCHA-************-RRR*********TMBZTQ,,2196.0
2025-01-25,UPI-ANAND P RAO-Q*********@YBL-YESB0YBLUPI-************-DOCTOR FEES,1200.0,
2025-01-28,UPI-DMART READY-DMARTREADY.********@HDFCBANK-HDFC*******-************-DMART,3220.0,
2025-01-28,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-DAD PAID D MART,,3200.0
2025-01-30,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN***************** GTS SALARY PAY JAN25,,147369.0
2025-01-30,OCTDEC24 INSTAALERTCHG 11 SMS ******-MIR*************,2.6,
2025-01-02,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-MAYUR PAID,,5255.0
2025-01-02,UPI-ICICI LOMBARD-ICICILOMBARD.RZP@AXISBANK-UTIB*******-************-TRANSACTIONIDTXN5C,11627.0,
2025-01-02,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-AMAL PAID,,27500.0
2025-02-02,UPI-ELASTICRUN-ELASTICRUN01@ICICI-ICIC0DC0099-************-PROTEIN POWDER,4999.0,
2025-02-02,UPI-PLAYO-PLAYOPGONLINE@YBL-YESB0YBLUPI-************-PLAYO ORDER ID VOA,223.96,
2025-02-02,UPI-MASTER AKSHATH M G-MGAKSHATH@OKAXIS-IDIB000J028-************-UPI,,277.13
2025-02-02,UPI-ZEPTO-CF.ZEPTO12@CASHFREENSDLPB-NSPB*******-************-ZEPTO,555.15,
2025-02-02,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-MONTHLY EXPENSES,5000.0,
2025-03-02,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,7000.0,
2025-03-02,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,6000.0,
2025-03-02,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,5000.0,
2025-03-02,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,4000.0,
2025-03-02,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,5000.0,
2025-03-02,ACH D- IDFC FIRST BANK-**********,13542.0,
2025-03-02,UPI-ACT  BROADBAND-PAYTM-ACTBAN4@PTYBL-YESB0PTMUPI-************-UPI,1709.82,
2025-03-02,UPI-POLA SAI SATHVIK-POLASATVIK-4@OKHDFCBANK-HDFC*******-************-UPI,,10488.0
2025-05-02,UPI-CRED-CRED.CLUB@AXISB-UTIB*******-************-PAYMENT ON CRED,54937.0,
2025-06-02,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN*****************,,4663.58
2025-07-02,EMI ********* CHQ S************* *************,10482.0,
2025-08-02,UPI-SHUBHAM TUSHAR MEHER-MEHERSHUBHAM.WORK-1@OKSBI-SBIN*******-************-NUSA,2383.0,
2025-02-17,UPI-P MADHAVI-**********@AXL-UBIN*******-************-PAYMENT FROM PHONE,5000.0,
2025-02-18,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,7350.0,
2025-02-19,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-REVERSE SEND TRANS,5000.0,
2023-04-01,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,40000
2023-04-02,   TO TRANSFER-UPI/DR/************/BHARTI A/AIRP/airtelcomm/Payme--,1688.68, 
2023-04-02,   DEBIT-CMP MANDATE DEBIT Bajaj Finance Ltd. - DD--,26167, 
2023-04-02,   DEBIT-ACHDr NACH************** IDFCFIRSTBANK--,17417, 
2023-04-02,   TO TRANSFER-UPI/DR/************/KAKAL KA/ICIC/pinelabs.2/Payme--,58, 
2023-04-02,   TO TRANSFER-UPI/DR/************/sboregowda/PYTM/paytmqr281/Pay--,94, 
2023-04-03,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,40000
2023-04-03,   ATM WDL-ATM CASH 957   ANJANAPURA BANGALORE  BANGALORE--,20000, 
2023-04-03,   ATM WDL-ATM CASH 959   ANJANAPURA BANGALORE  BANGALORE--,20000, 
2023-04-04,   TO TRANSFER-UPI/DR/************/AMAZONPA/UTIB/amazonupi@/Reque--,512, 
2023-04-06,   TO TRANSFER-UPI/DR/************/Bharatpe/ICIC/BHARATPE.9/Verif--,45, 
2023-04-07,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,10000
2023-04-07,   TO TRANSFER-UPI/DR/************/VENKATES/KKBK/**********/Payme--,5000, 
2023-04-07,   TO TRANSFER-UPI/DR/************/SARFRAZ /KKBK/**********/Payme--,1500, 
2023-04-08,   TO TRANSFER-UPI/DR/************/Bharatpe/ICIC/BHARATPE.9/Verif--,12, 
2023-04-08,   TO TRANSFER-UPI/DR/************/AMAZON S/HDFC/amazonsell/Payme--,370, 
2023-04-09,   TO TRANSFER-UPI/DR/************/P  SRINI/SBIN/**********/Payme--,1, 
2023-04-11,   BY TRANSFER-INB pgr--, ,30000
2023-04-11,   TO TRANSFER-UPI/DR/************/CREDCLUB1/UTIB/cred.club@/paym--,26378.17, 
2023-04-11,   TO TRANSFER-UPI/DR/************/AMAZONPA/UTIB/amazonupi@/Reque--,422.3, 
2023-04-11,   TO TRANSFER-UPI/DR/************/AMAZONPA/UTIB/amazonupi@/Reque--,360, 
2023-04-11,   TO TRANSFER-UPI/DR/************/AMAZONPA/UTIB/amazonupi@/Reque--,288, 
2023-04-13,   ATM WDL-ATM CASH 4027  ANJANAPURA BANGALORE  BANGALORE--,5000, 
2023-04-13,   BY TRANSFER-UPI/CR/************/Amazon P/UTIB/amazon.ref/Refun--, ,512
2023-04-14,   BY TRANSFER-INB IMPS************/**********/XX4916/KKBKTransf--, ,1
2023-04-14,   TO TRANSFER-UPI/DR/************/ACT  Bro/PYTM/paytm-actb/Payme--,837.8, 
2023-04-16,   TO TRANSFER-UPI/DR/************/AMAZONPA/UTIB/amazonupi@/Reque--,700, 
2023-04-16,   TO TRANSFER-UPI/DR/************/MEDPLUS /PYTM/paytm-6860/Payme--,1571, 
2023-04-16,   TO TRANSFER-UPI/DR/************/VIJAYAKU/PYTM/paytmqrplu/Payme--,60, 
2023-04-17,   TO TRANSFER-UPI/DR/************/Jio/PYTM/paybil3066/Oid20853--,239, 
2023-04-17,   BULK POSTING-ACHCr HDFC************** BRITANNIAINDUS--, ,360
2023-04-18,   BY TRANSFER-INB IMPS************/**********/XX7853/NA--, ,49000
2023-04-18,   ATM WDL-ATM CASH 5450  ANJANAPURA BANGALORE  BANGALORE--,20000, 
2023-04-18,   ATM WDL-ATM CASH 5452  ANJANAPURA BANGALORE  BANGALORE--,20000, 
2023-04-18,   TO TRANSFER-UPI/DR/************/********/KKBK/**********/Payme--,4000, 
2023-04-19,   BY TRANSFER-UPI/CR/************/Amazon P/UTIB/amazon.ref/Refun--, ,210
2023-04-20,   TO TRANSFER-UPI/DR/************/BARKATH /PYTM/**********/Payme--,2000, 
2023-04-21,   TO TRANSFER-UPI/DR/************/FORTUNE /YESB/Q*********/Payme--,25, 
2023-04-21,   TO TRANSFER-UPI/DR/************/AMAZONPA/UTIB/amazonupi@/Reque--,1099, 
2023-04-24,   TO TRANSFER-UPI/DR/************/HEMA/KARB/**********/Payment--,600, 
2023-04-24,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,3000
2023-04-24,   TO TRANSFER-UPI/DR/************/HEMA/KARB/**********/Payment--,4400, 
2023-04-25,   TO TRANSFER-UPI/DR/************/MOHAN S/KARB/mohanrr967/Paymen--,60, 
2023-04-25,   BY TRANSFER-INB pgr--, ,110000
2023-04-25,   TO TRANSFER-UPI/DR/************/CREDCLUB1/UTIB/cred.club@/paym--,107756, 
2023-04-26,   TO TRANSFER-UPI/DR/************/CHANDRA /UBIN/**********/Payme--,2500, 
2023-04-26,   BY TRANSFER-UPI/CR/************/Amazon P/UTIB/amazon.ref/Refun--, ,1099
2023-04-27,   TO TRANSFER-UPI/DR/************/AMAZONPA/UTIB/amazonupi@/Reque--,439, 
2023-04-28,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,30000
2023-04-28,   TO TRANSFER-UPI/DR/************/BHARTI A/AIRP/airtelcomm/Payme--,1694.59, 
2023-04-28,   TO TRANSFER-UPI/DR/************/CREDCLUB1/UTIB/cred.club@/paym--,23919.71, 
2023-04-28,   TO TRANSFER-UPI/DR/************/AMAZONPA/UTIB/amazonupi@/Reque--,949, 
2023-04-30,   TO TRANSFER-UPI/DR/************/AMAZONPA/UTIB/amazonupi@/Reque--,236, 
2023-04-30,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,10000
2023-04-30,   TO TRANSFER-UPI/DR/************/HANUMANTHA/CNRB/rajugowda4/UPI--,5750, 
2023-04-30,   TO TRANSFER-UPI/DR/************/M CHAND /KKBK/**********/Payme--,5000, 
2023-05-01,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,50000
2023-05-01,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,5000
2023-05-02,   DEBIT-CMP MANDATE DEBIT Bajaj Finance Ltd. - DD--,11530, 
2023-05-02,   DEBIT-CMP MANDATE DEBIT Bajaj Finance Ltd. - DD--,26167, 
2023-05-02,   DEBIT-ACHDr NACH************** RAZORPAYSOFTWA--,17417, 
2023-05-02,   TO TRANSFER-UPI/DR/************/d2h DTH /PYTM/paydth5848/Oid20--,100, 
2023-05-02,   TO TRANSFER-UPI/DR/************/Mr SWAMY M/IDIB/m.swamy13@/Pay--,1200, 
2023-05-03,   TO TRANSFER-UPI/DR/************/AMAZONPA/UTIB/amazonupi@/Reque--,299, 
2023-05-03,   TO TRANSFER-UPI/DR/************/SHREE IS/HDFC/shreeishta/Payme--,1500, 
2023-05-05,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,62000
2023-05-05,   TO TRANSFER-UPI/DR/************/CREDCLUB1/UTIB/cred.club@/paym--,56274.17, 
2023-05-05,   TO TRANSFER-UPI/DR/************/CREDCLUB1/UTIB/cred.club@/paym--,275.37, 
2023-05-05,   TO TRANSFER-UPI/DR/************/AMAZONPAY/UTIB/amazonpay@/Requ--,4198, 
2023-05-07,   TO TRANSFER-UPI/DR/************/RELIANCE/HDFC/RELIANCEFR/Payme--,39.95, 
2023-05-08,   TO TRANSFER-PMJJBY RENEWAL SBIJB********************--,436, 
2023-05-09,   TO TRANSFER-UPI/DR/************/MANJUNAT/KKBK/**********/Payme--,600, 
2023-05-09,   BY TRANSFER-INB IMPS************/**********/XX5327/ICICITd2gc--, ,49000
2023-05-09,   TO TRANSFER-UPI/DR/************/SHREE SH/SBIN/**********/Payme--,45000, 
2023-05-10,   TO TRANSFER-UPI/DR/************/Kanti Sw/YESB/Q*********/Payme--,1060, 
2023-05-11,   TO TRANSFER-UPI/DR/************/RAMA SUN/KVBL/elluru.ram/Payme--,2000, 
2023-05-14,   TO TRANSFER-UPI/DR/************/ACT  Bro/PYTM/paytm-actb/Payme--,837.8, 
2023-05-16,   BY TRANSFER-INB pgr--, ,50000
2023-05-16,   TO TRANSFER-UPI/DR/************/CREDCLUB1/UTIB/cred.club@/paym--,11891.38, 
2023-05-16,   TO TRANSFER-UPI/DR/************/P YALINI/PUNB/**********/Payme--,5055, 
2023-05-18,BY CLEARING / CHEQUE-HDF   *********-****** *********--******, ,62000
2023-05-18,   TO TRANSFER-UPI/DR/************/********/KKBK/**********/Payme--,450, 
2023-05-18,   TO TRANSFER-UPI/DR/************/P MADHAVI/UBIN/**********/Paym--,62000, 
2023-05-19,   TO TRANSFER-UPI/DR/************/Atomberg/ICIC/atomberg82/Atomb--,7699, 
2023-05-20,   TO TRANSFER-UPI/DR/************/Jio/PYTM/paybil3066/Oid21084--,240.1, 
2023-05-21,   TO TRANSFER-UPI/DR/************/KAKAL KA/ICIC/pinelabs.2/Payme--,37, 
2023-05-21,   BY TRANSFER-UPI/REV/************--, ,37
2023-05-21,   TO TRANSFER-UPI/DR/************/KAKAL KA/ICIC/pinelabs.2/Payme--,37, 
2023-05-22,   TO TRANSFER-UPI/DR/************/BHARTI A/AIRP/airtelprep/Payme--,719, 
2023-05-22,   TO TRANSFER-UPI/DR/************/Lokesh M R/SBIN/**********/Pay--,3300, 
2023-05-24,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,40000
2023-05-24,   ATM WDL-ATM CASH 3454  ANJANAPURA BANGALORE  BANGALORE--,20000, 
2023-05-24,   ATM WDL-ATM CASH 3456  ANJANAPURA BANGALORE  BANGALORE--,20000, 
2023-05-24,   TO TRANSFER-UPI/DR/************/THIMMARA/PYTM/paytmqr281/Payme--,255, 
2023-05-24,   TO TRANSFER-UPI/DR/************/KEMPARAJU/PYTM/paytmqr281/Paym--,240, 
2023-05-24,   TO TRANSFER-UPI/DR/************/RAGHU/CNRB/**********/Payment--,2000, 
2023-05-24,   TO TRANSFER-UPI/DR/************/PHONEPE/UTIB/PHONEPEWAL/Paymen--,1000, 
2023-05-25,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,25000
2023-05-25,   TO TRANSFER-UPI/DR/************/CREDCLUB1/UTIB/cred.club@/paym--,26372, 
2023-05-27,   TO TRANSFER-UPI/DR/************/CHANDRA /UBIN/**********/Payme--,1800, 
2023-05-28,   TO TRANSFER-UPI/DR/************/BHARTI A/AIRP/airtelcomm/Payme--,1680.82, 
2023-05-28,   TO TRANSFER-UPI/DR/************/AMAZONPA/UTIB/amazonupi@/Reque--,499, 
2023-05-29,   TO TRANSFER-UPI/DR/************/Mr E SAR/IDIB/**********/Payme--,500, 
2023-05-31,   BY TRANSFER-INB pgr--, ,50000
2023-05-31,   TO TRANSFER-UPI/DR/************/CREDCLUB1/UTIB/cred.club@/paym--,47391.08, 
2023-06-01,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,55000
2023-06-02,   DEBIT-CMP MANDATE DEBIT Bajaj Finance Ltd. - DD--,11250, 
2023-06-02,   TO TRANSFER-UPI/DR/************/SHWETHA/PYTM/paytmqr281/Paymen--,116, 
2023-06-02,   DEBIT-CMP MANDATE DEBIT Bajaj Finance Ltd. - DD--,26167, 
2023-06-02,   TO TRANSFER-UPI/DR/************/amzn1.ac/UTIB/amazonpayh/Reque--,1105.5, 
2023-06-02,   DEBIT-ACHDr NACH************** RAZORPAYSOFTWA--,17417, 
2023-06-02,   ATM WDL-ATM CASH 5635  ANJANAPURA BANGALORE  BANGALORE--,10000, 
2023-06-04,   TO TRANSFER-UPI/DR/************/P RAJAKU/YESB/Q*********/Payme--,2000, 
2023-06-04,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,17000
2023-06-04,   TO TRANSFER-UPI/DR/************/POLA SAI/HDFC/polasatvik/UPI--,17000, 
2023-06-05,   TO TRANSFER-UPI/DR/************/DAKSHIN /YESB/BHARATPE90/Pay T--,20, 
2023-06-05,   TO TRANSFER-UPI/DR/************/SRINIVAS/PYTM/paytmqr281/Payme--,48, 
2023-06-05,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,10000
2023-06-05,   TO TRANSFER-UPI/DR/************/AMAZONPAY/UTIB/amazonpay@/Requ--,6222, 
2023-06-06,   TO TRANSFER-UPI/DR/************/RAJESH T S/CNRB/ts.rajesh1/Pay--,1968, 
2023-06-06,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,100000
2023-06-06,   TO TRANSFER-UPI/DR/************/CREDCLUB1/UTIB/cred.club@/paym--,100000, 
2023-06-10,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,50000
2023-06-10,   ATM WDL-ATM CASH 3559  KONANAKUNTE-2         BENGALURU--,20000, 
2023-06-10,   ATM WDL-ATM CASH 3561  KONANAKUNTE-2         BENGALURU--,20000, 
2023-06-10,   TO TRANSFER-UPI/DR/************/AMAZONPA/UTIB/amazonupi@/Reque--,480, 
2023-06-11,   BY TRANSFER-UPI/CR/************/SHREE SH/SBIN/**********/Payme--, ,40000
2023-06-11,   ATM WDL-ATM CASH 4017  KONANAKUNTE-2         BENGALURU--,20000, 
2023-06-11,   ATM WDL-ATM CASH 4019  KONANAKUNTE-2         BENGALURU--,20000, 
2023-06-12,   TO TRANSFER-UPI/DR/************/V R MALL/PYTM/paytmqr281/Payme--,46, 
